username,followers,following,bio_length,posts_per_month,account_age_months,verified,label
user_0,6647,66,64,93,29,1,0
user_1,3986,309,94,63,91,0,0
user_2,8889,847,124,99,32,0,0
user_3,8272,546,181,95,96,0,0
user_4,3224,851,31,10,75,0,1
user_5,491,400,140,11,18,0,0
user_6,1356,963,172,17,69,0,0
user_7,9471,149,150,58,87,1,0
user_8,1898,662,16,98,75,0,0
user_9,4388,663,124,79,28,0,0
user_10,1835,86,195,23,12,1,0
user_11,134,776,28,67,75,1,1
user_12,7809,889,44,11,115,1,1
user_13,21,734,71,87,98,0,1
user_14,2224,70,168,12,99,0,0
user_15,631,690,79,31,36,0,0
user_16,2108,657,112,94,73,0,0
user_17,4017,525,136,67,75,0,0
user_18,1099,949,28,56,58,1,0
user_19,6819,105,17,4,76,0,1
user_20,2130,774,192,91,72,0,1
user_21,2808,206,80,92,110,0,1
user_22,1915,168,149,66,64,0,0
user_23,7608,237,168,0,116,0,1
user_24,2768,58,13,66,75,1,0
user_25,6503,139,130,49,75,1,1
user_26,9838,341,65,60,98,1,0
user_27,9193,693,40,47,49,0,0
user_28,4914,681,49,89,117,0,1
user_29,6995,868,3,76,62,0,0
user_30,3974,339,138,65,98,0,0
user_31,5350,222,171,27,107,0,0
user_32,2860,431,20,6,83,0,1
user_33,9795,771,7,91,100,0,0
user_34,8237,790,4,44,10,0,0
user_35,9805,255,183,43,54,0,0
user_36,3422,992,34,85,88,0,0
user_37,3005,225,150,62,98,0,1
user_38,7270,994,11,0,54,0,1
user_39,8323,223,96,26,25,1,0
user_40,1981,865,21,60,85,0,0
user_41,1940,583,53,65,78,0,0
user_42,3622,400,25,34,19,0,0
user_43,2997,755,67,3,10,0,1
user_44,9240,168,137,4,39,0,1
user_45,5138,155,196,8,75,0,0
user_46,1257,630,178,35,89,0,0
user_47,2900,860,188,91,15,0,0
user_48,8949,671,75,41,115,0,0
user_49,507,471,178,90,8,0,0
user_50,6306,934,22,2,14,0,1
user_51,4431,129,143,33,102,0,0
user_52,4149,991,174,72,6,0,0
user_53,9622,371,33,87,54,0,0
user_54,1581,346,101,33,5,0,0
user_55,2609,198,86,91,114,0,1
user_56,7156,942,123,94,30,0,0
user_57,4951,733,173,65,102,0,0
user_58,6970,275,114,39,104,0,0
user_59,9404,10,119,80,113,0,1
user_60,8675,706,59,50,41,0,0
user_61,5199,670,128,17,109,0,0
user_62,6087,981,70,72,1,0,1
user_63,9305,991,24,80,11,0,0
user_64,8112,309,102,56,54,0,0
user_65,1700,434,170,99,109,1,0
user_66,1007,210,153,40,111,0,1
user_67,7986,546,190,76,9,1,0
user_68,2124,779,152,69,44,0,1
user_69,6658,256,26,54,46,0,0
user_70,8679,132,143,97,81,0,0
user_71,7881,533,166,44,63,0,0
user_72,2915,401,176,11,10,0,1
user_73,4986,606,89,60,25,0,0
user_74,7325,582,14,40,115,0,1
user_75,4892,264,16,92,95,0,0
user_76,4467,396,77,54,113,0,0
user_77,3073,191,143,53,65,0,0
user_78,362,200,137,95,69,0,0
user_79,6872,738,171,29,22,0,1
user_80,3978,743,158,26,81,0,0
user_81,6768,341,90,71,82,0,0
user_82,5691,337,57,16,30,0,1
user_83,2182,769,143,3,112,1,0
user_84,3102,897,81,15,12,0,0
user_85,9330,315,162,32,101,0,1
user_86,6672,917,15,30,59,0,1
user_87,6597,948,23,91,114,0,0
user_88,3485,776,58,37,33,0,1
user_89,4369,951,107,24,67,0,0
user_90,9258,573,136,34,50,0,0
user_91,5037,108,27,47,105,0,0
user_92,9170,964,39,55,72,0,0
user_93,9669,108,79,44,55,0,0
user_94,4715,292,160,29,37,0,0
user_95,2049,729,153,70,18,0,0
user_96,2094,878,22,9,4,0,1
user_97,4992,236,153,7,79,0,0
user_98,7945,841,133,17,98,0,1
user_99,6879,659,93,48,7,0,0
user_100,7009,663,172,40,14,0,0
user_101,4167,855,134,14,95,0,1
user_102,1486,931,62,72,79,0,0
user_103,9377,38,189,49,50,0,1
user_104,787,22,148,40,104,0,0
user_105,6029,658,106,7,77,1,0
user_106,8073,541,192,27,62,0,0
user_107,9901,873,147,45,26,0,0
user_108,1081,118,129,3,17,1,1
user_109,9665,757,17,7,52,0,0
user_110,7659,959,0,24,69,0,0
user_111,8481,716,19,60,97,0,0
user_112,8700,298,96,22,64,0,0
user_113,6363,491,152,43,39,0,0
user_114,7513,943,25,92,6,0,1
user_115,8132,933,1,41,18,0,1
user_116,2990,182,162,39,73,0,0
user_117,792,59,24,30,64,0,0
user_118,9354,191,142,51,10,0,0
user_119,2934,159,6,88,86,0,1
user_120,8252,301,84,12,65,0,1
user_121,400,516,59,85,39,0,0
user_122,5677,719,159,56,94,1,0
user_123,134,766,167,50,53,0,0
user_124,5548,137,170,68,6,0,0
user_125,816,289,83,21,44,0,0
user_126,4239,946,143,45,18,0,1
user_127,493,855,145,77,12,0,0
user_128,2788,214,128,65,16,0,0
user_129,7455,736,109,19,92,0,1
user_130,1821,187,105,17,19,0,1
user_131,5584,335,39,36,36,1,0
user_132,6658,453,116,41,60,0,0
user_133,8038,716,134,90,1,0,1
user_134,9446,684,138,11,18,0,0
user_135,3262,540,91,3,108,0,1
user_136,5075,149,14,10,87,0,0
user_137,6297,762,95,21,22,0,0
user_138,7202,528,98,99,68,0,0
user_139,1324,386,142,68,60,0,0
user_140,8473,130,63,10,49,0,0
user_141,7513,63,88,22,61,0,0
user_142,1031,202,195,45,83,0,0
user_143,5970,378,30,96,77,0,0
user_144,9311,893,123,51,109,0,0
user_145,9329,483,136,85,33,1,0
user_146,3012,253,63,60,45,1,1
user_147,8713,578,184,54,30,0,1
user_148,2230,575,33,60,38,0,0
user_149,3673,7,15,47,4,0,0
user_150,9188,819,196,75,83,0,0
user_151,1176,805,88,68,34,0,0
user_152,400,591,63,84,84,0,0
user_153,7873,746,85,24,62,0,0
user_154,3626,661,179,3,95,0,1
user_155,8679,479,53,77,25,0,0
user_156,649,487,197,79,3,0,0
user_157,6701,334,157,81,119,0,1
user_158,5238,903,102,43,55,1,0
user_159,1397,835,6,17,15,0,0
user_160,7815,376,0,61,81,0,0
user_161,2634,368,180,12,3,0,0
user_162,2952,279,94,13,58,0,0
user_163,4789,919,87,71,88,0,0
user_164,2470,501,87,12,85,0,0
user_165,3510,451,142,78,74,0,1
user_166,9601,325,69,2,50,0,1
user_167,1349,111,195,20,107,0,1
user_168,4386,275,169,55,72,0,0
user_169,550,410,93,12,33,0,1
user_170,2090,156,67,74,11,0,0
user_171,8469,670,157,49,72,0,0
user_172,7108,206,72,95,101,0,0
user_173,3619,323,190,10,23,0,0
user_174,2384,136,185,14,94,0,0
user_175,5100,370,20,30,24,0,0
user_176,9887,901,63,67,40,0,1
user_177,6711,611,138,13,62,0,0
user_178,8095,776,158,2,12,0,1
user_179,257,137,3,60,116,0,0
user_180,6020,686,151,72,22,1,0
user_181,115,227,6,23,62,0,0
user_182,5368,535,16,56,76,0,0
user_183,987,812,165,14,52,1,0
user_184,6384,508,187,10,4,0,0
user_185,7179,183,54,58,17,0,0
user_186,9325,859,105,12,56,0,0
user_187,4399,270,33,56,94,0,0
user_188,637,218,9,52,27,0,1
user_189,430,49,99,68,22,0,1
user_190,6019,35,144,30,108,0,0
user_191,7204,944,126,53,2,0,0
user_192,9485,469,39,5,109,0,0
user_193,1685,985,185,26,45,1,0
user_194,6770,798,161,21,117,0,0
user_195,6707,304,109,44,10,0,0
user_196,1569,747,171,14,16,0,0
user_197,9898,542,162,11,112,0,0
user_198,8651,374,182,77,28,0,0
user_199,2090,651,150,47,26,0,0
user_200,3658,483,30,65,99,0,0
user_201,7089,814,199,39,27,0,0
user_202,9606,159,45,8,25,0,1
user_203,7081,415,107,79,91,0,0
user_204,1367,574,198,23,52,0,0
user_205,2346,43,22,87,25,0,0
user_206,1481,351,192,65,84,0,1
user_207,585,856,168,61,81,1,0
user_208,8485,222,107,49,21,0,0
user_209,4679,538,67,60,38,0,0
user_210,908,361,173,24,28,0,0
user_211,6774,6,9,88,89,1,1
user_212,851,150,60,87,115,0,0
user_213,4117,241,44,36,111,0,0
user_214,8344,916,161,9,42,0,0
user_215,5552,448,183,24,19,0,1
user_216,5321,293,74,60,13,0,0
user_217,587,261,87,53,110,0,1
user_218,5741,405,55,65,91,0,1
user_219,2469,920,67,76,107,0,1
user_220,1427,910,99,86,110,0,0
user_221,5009,776,152,2,10,1,0
user_222,1636,640,176,48,66,0,0
user_223,984,301,186,79,3,0,0
user_224,2405,729,190,3,23,0,1
user_225,3574,983,93,91,64,0,0
user_226,2804,816,39,16,20,0,1
user_227,9573,428,39,98,9,0,0
user_228,1141,872,135,77,81,0,1
user_229,3358,379,108,94,17,0,0
user_230,8954,972,58,85,104,0,0
user_231,2014,872,174,58,61,0,0
user_232,6307,754,89,86,26,0,0
user_233,6092,437,3,50,75,0,0
user_234,7217,288,191,49,53,0,0
user_235,5298,471,122,7,54,0,0
user_236,463,843,123,75,48,0,0
user_237,1504,151,137,57,65,1,0
user_238,5273,335,66,38,8,0,0
user_239,134,488,87,36,43,0,0
user_240,8288,633,28,26,91,0,1
user_241,9801,322,37,26,82,1,0
user_242,6396,865,94,68,113,1,1
user_243,4377,531,36,4,2,1,0
user_244,4754,109,186,85,69,0,0
user_245,7918,959,180,27,11,0,0
user_246,1142,614,194,16,20,0,0
user_247,5186,491,61,26,21,0,0
user_248,7601,883,84,70,90,0,0
user_249,2427,131,194,84,105,1,0
user_250,5031,568,64,50,29,0,0
user_251,4737,297,94,72,118,0,1
user_252,8065,227,112,12,101,0,1
user_253,9257,677,143,77,4,0,0
user_254,6569,618,68,37,98,1,1
user_255,4065,255,151,88,23,0,0
user_256,8586,765,169,39,47,0,0
user_257,4004,694,135,59,80,0,1
user_258,3564,876,15,78,14,0,0
user_259,6805,31,165,65,59,0,0
user_260,4534,287,32,39,33,1,0
user_261,1221,243,12,6,17,0,0
user_262,3854,197,84,89,112,1,0
user_263,59,436,4,30,105,0,0
user_264,4280,392,9,31,15,0,0
user_265,7413,52,59,74,86,0,0
user_266,6973,653,144,88,24,0,0
user_267,908,463,148,17,98,0,0
user_268,284,257,69,97,103,0,0
user_269,165,729,25,54,80,0,0
user_270,8729,806,87,31,29,0,0
user_271,4925,590,176,39,9,0,0
user_272,4802,121,106,21,84,0,1
user_273,8681,566,199,31,1,0,0
user_274,9810,726,160,85,117,0,0
user_275,4361,455,63,19,7,1,0
user_276,5362,548,1,18,78,1,0
user_277,5828,943,28,81,95,0,1
user_278,1837,132,51,96,37,0,0
user_279,3865,390,62,24,53,0,0
user_280,1313,416,174,13,45,0,1
user_281,2049,914,101,76,109,0,0
user_282,186,355,31,95,118,0,0
user_283,422,999,95,98,57,0,0
user_284,5615,172,77,92,10,0,0
user_285,2428,624,44,75,36,0,0
user_286,2521,849,51,36,29,0,1
user_287,15,294,199,39,7,0,0
